Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
74.0,0.305,0.005,0.895,0.115,0.805,0.855,0.565,0.765,0.235,-4.6260519052177855,21.065686267042537,-25.691738172260322,-33.42163098614847,12.830494492690825,-166.77243522377,8.624773298321626,259.43191449799633,-97.91015869614023
75.0,0.585,0.105,0.705,0.145,0.695,0.285,0.815,0.585,0.855,-153.89587350955256,32.322915712920725,-186.21878922247328,-171.8999106144766,10.735434537767203,-291.54446263032753,7.814873203779061,353.2101283420052,-229.32494142498894
76.0,0.745,0.885,0.375,0.685,0.685,0.605,0.135,0.565,0.545,-256.2687423948924,25.67162286600664,-281.94036526089906,-254.9474616353143,11.18266222807861,-327.06735309139833,5.596057095482044,403.56021267299366,-292.7434383927879
77.0,0.885,0.625,0.445,0.705,0.675,0.795,0.915,0.125,0.175,9.533031486249627,21.736688216963593,-12.203656730713966,-26.352442355283365,19.91664738401797,-119.03956867344316,9.421339527769822,397.28296315799525,-79.145817124066
78.0,0.985,0.915,0.545,0.975,0.445,0.385,0.065,0.065,0.095,-40.537007302101486,28.980340256638787,-69.51734755874027,-79.52964939109144,18.640188502630735,-141.33928525135832,16.29825740877221,216.51146689899906,-121.9569198002855
79.0,0.545,0.805,0.975,0.565,0.915,0.095,0.015,0.495,0.895,-186.5806804765697,18.848468734209824,-205.42914921077954,-244.61842526957543,14.29695064680112,-335.36953501906936,8.719046159506863,297.043035892013,-292.98465802125645
80.0,0.495,0.395,0.625,0.105,0.775,0.725,0.895,0.525,0.445,-209.74568465583496,19.399585589600466,-229.14527024543543,-270.71682904410056,20.29834557286682,-371.06113074303846,5.6811480251160535,368.3760249689949,-325.30601627744227
81.0,0.065,0.655,0.415,0.765,0.795,0.225,0.485,0.105,0.155,-176.35730543322293,23.682108005864645,-200.03941343908758,-186.78226640187245,10.355049022167504,-256.9826800727115,6.656841236055358,309.81932309600234,-223.7381977779307
82.0,0.905,0.605,0.535,0.905,0.165,0.705,0.475,0.145,0.625,-171.13547844613268,19.152498051537894,-190.28797649767057,-219.28716340337527,14.815578934945055,-296.4374391035721,6.301900279735098,366.01516050500504,-261.55738115631505
83.0,0.115,0.195,0.135,0.195,0.475,0.155,0.455,0.915,0.125,-153.7737479947734,14.347292785555332,-168.12104078032874,-154.36668639279173,12.1051033406353,-243.67279620955009,6.42173851844542,378.30137696300517,-199.92088773125442
84.0,0.855,0.135,0.665,0.345,0.355,0.465,0.675,0.005,0.065,-87.39057109058741,22.953725520444177,-110.3442966110316,-78.77935693041219,8.090654062938178,-198.5964752101716,9.094130871094205,349.23351346800337,-135.19824902851656
85.0,0.415,0.615,0.435,0.955,0.265,0.775,0.195,0.865,0.605,-194.7350760769751,19.672110725555424,-214.40718680253053,-251.7458480284034,12.844859197169956,-329.6452677587712,6.653013260492749,517.173415385012,-293.27373674304954
86.0,0.225,0.995,0.235,0.965,0.105,0.275,0.205,0.285,0.015,-178.16544130992196,17.422233597727953,-195.5876749076499,-197.20776610844047,16.810134591960768,-236.96311264028927,14.766355867853553,214.43070564500522,-229.10252782349787
87.0,0.195,0.055,0.305,0.945,0.025,0.625,0.985,0.635,0.715,-191.80017277764244,18.35597025907784,-210.1561430367203,-230.31947728582122,8.776199386337407,-290.69999123906746,6.806179181830393,384.81542941500084,-262.4598741716543
88.0,0.355,0.855,0.085,0.305,0.545,0.945,0.315,0.695,0.215,-200.82300387268322,20.645849046909003,-221.46885291959222,-235.79061264034576,10.097737795173309,-293.3445033240322,7.100796772724875,497.66289925799356,-267.71113030001425
89.0,0.645,0.595,0.315,0.605,0.325,0.565,0.335,0.325,0.845,-225.95070481118876,22.929593027836308,-248.88029783902508,-204.69709911503003,8.473411948248975,-274.5616535615358,5.916261889972241,544.9848054850008,-240.09347281857063
90.0,0.475,0.485,0.785,0.695,0.745,0.175,0.505,0.745,0.435,-209.11255581773779,25.749105622613,-234.8616614403508,-209.65904854243908,15.944902168368664,-310.00633552894084,6.53293131714354,599.1614754040056,-261.9780771649184
91.0,0.125,0.585,0.475,0.735,0.215,0.475,0.145,0.805,0.885,-204.8432350112253,19.420396265927344,-224.26363127715263,-239.4376311217665,13.45488880399469,-316.1254211986172,4.356051244497809,276.26337559700187,-279.9281009327027
92.0,0.535,0.735,0.855,0.755,0.585,0.215,0.215,0.345,0.115,-155.90061074440695,20.68726994907844,-176.58788069348537,-164.0422190755773,13.806322294286037,-236.95201587692637,11.95705018937603,370.3424119889969,-206.27275124843896
93.0,0.145,0.935,0.935,0.035,0.725,0.165,0.935,0.365,0.655,-182.11963932598817,18.56769446874874,-200.6873337947369,-269.550279533241,28.480476693983974,-504.81390990614074,15.07028989962342,334.521029755997,-386.77213365864066
94.0,0.135,0.495,0.585,0.525,0.865,0.585,0.085,0.025,0.025,-98.79798312223078,19.04140018788298,-117.83938331011376,-134.1943969525118,15.101651382647042,-222.62068972126093,11.321347896089714,332.2460582680069,-183.15444404803557
95.0,0.665,0.015,0.075,0.165,0.055,0.835,0.625,0.575,0.345,150.68328452858904,21.55206835978144,129.1312161688076,36.44550714798695,47.242002443725085,-115.84551927091267,17.145874805425237,761.2403056699986,-59.674454807978044
96.0,0.365,0.765,0.275,0.655,0.975,0.535,0.005,0.975,0.355,-183.28680638887818,19.03089092014731,-202.31769730902548,-162.57183766860175,11.422811894430698,-253.32313158596236,6.334403363516939,331.3991596720007,-208.2598037176112
97.0,0.655,0.225,0.015,0.885,0.015,0.325,0.265,0.985,0.745,-148.0461239358514,20.647065676430877,-168.69318961228228,-140.9726776373606,15.502275969383458,-269.22270407100206,14.025447900340206,819.4839152670029,-207.18423295258333
98.0,0.775,0.785,0.325,0.935,0.415,0.105,0.425,0.185,0.865,-179.4634246631337,19.626640213616874,-199.09006487675057,-207.63587943148295,4.598400510203731,-281.9987910590431,3.8526654124405,197.85240658099065,-241.68115055360545
99.0,0.085,0.445,0.605,0.275,0.375,0.035,0.705,0.715,0.185,-214.59374139146513,19.910694103989698,-234.50443549545483,-244.01810935279823,12.891922749069266,-325.3366449403112,4.641033365787559,255.42972069099778,-286.13709058356005
